LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2015,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,17,450 km",Diesel,2nd Owner,"₹6,74,000"
New Delhi,2021,Hyundai,Creta SX PETROL MT,Manual,223 km,Petrol,1st Owner,"₹15,90,000"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"57,731 km",Diesel,1st Owner,"₹6,41,299"
New Delhi,2015,Honda,Mobilio 1.5 S I DTEC,Manual,"43,196 km",Diesel,2nd Owner,"₹4,31,099"
New Delhi,2020,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"10,971 km",Petrol,1st Owner,"₹9,97,699"
New Delhi,2020,Hyundai,Creta SX PETROL MT,Manual,"7,383 km",Petrol,1st Owner,"₹14,30,899"
New Delhi,2015,Renault,Duster 85 PS RXL OPT,Manual,"52,580 km",Diesel,1st Owner,"₹4,72,099"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"34,119 km",Diesel,1st Owner,"₹7,27,999"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"17,831 km",Diesel,1st Owner,"₹8,11,499"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"26,930 km",Diesel,1st Owner,"₹7,67,399"
New Delhi,2018,Hyundai,Creta 1.4 E PLUS CRDI,,"43,362 km",Diesel,1st Owner,"₹9,21,299"
New Delhi,2013,Nissan,Terrano XV D THP PREMIUM 110 PS,Manual,"62,600 km",Diesel,2nd Owner,"₹4,38,199"
New Delhi,2013,Renault,Duster 85 PS RXL OPT,Manual,"76,169 km",Diesel,1st Owner,"₹3,69,999"
New Delhi,2017,Toyota,Innova Crysta Touring Sport Diesel MT,Manual,"51,238 km",Diesel,1st Owner,"₹16,54,699"
New Delhi,2012,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"78,059 km",Diesel,1st Owner,"₹5,39,599"
New Delhi,2016,Maruti,S Cross ZETA 1.3,Manual,"66,998 km",Diesel,1st Owner,"₹5,52,299"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"43,933 km",Diesel,1st Owner,"₹7,15,099"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"27,711 km",Diesel,1st Owner,"₹8,05,299"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"51,673 km",Diesel,2nd Owner,"₹6,53,099"
New Delhi,2018,Hyundai,Creta 1.6 SX AT PETROL,,"20,241 km",Petrol,1st Owner,"₹12,47,299"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"67,617 km",Diesel,1st Owner,"₹6,35,799"
New Delhi,2016,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"83,138 km",Diesel,1st Owner,"₹9,94,799"
New Delhi,2017,Maruti,Vitara Brezza VDI,Manual,"69,639 km",Diesel,2nd Owner,"₹5,63,599"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"72,364 km",Diesel,2nd Owner,"₹6,37,299"
New Delhi,2019,Nissan,Kicks XV PREMIUM O DUAL TONE,Manual,"63,815 km",Diesel,1st Owner,"₹9,96,699"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,109 km",Diesel,1st Owner,"₹6,80,299"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS,Manual,"67,614 km",Diesel,1st Owner,"₹8,48,899"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"50,661 km",Diesel,1st Owner,"₹7,87,499"
New Delhi,2018,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"46,874 km",Diesel,1st Owner,"₹7,88,799"
New Delhi,2016,Hyundai,Creta 1.6 SX (O) CRDI,Manual,"43,540 km",Diesel,1st Owner,"₹9,35,999"
New Delhi,2014,Nissan,Terrano XL PLUS 85 PS DEISEL,Manual,"53,750 km",Diesel,1st Owner,"₹5,38,699"
New Delhi,2013,Renault,Duster 85 PS RXL OPT,Manual,"93,113 km",Diesel,1st Owner,"₹4,05,899"
New Delhi,2017,Maruti,S Cross ALPHA SHVS,Manual,"86,066 km",Diesel,1st Owner,"₹8,31,599"
New Delhi,2016,Hyundai,Creta 1.6 SX CRDI,,"84,757 km",Diesel,1st Owner,"₹7,94,599"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"88,190 km",Diesel,2nd Owner,"₹6,40,999"
New Delhi,2014,Renault,Duster 85 PS RXL OPT,Manual,"92,860 km",Diesel,2nd Owner,"₹3,71,099"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,20,943 km",Diesel,2nd Owner,"₹6,15,799"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"83,300 km",Diesel,2nd Owner,"₹7,66,699"
New Delhi,2017,Mahindra,Bolero Power+ ZLX Micro Hybrid,Manual,"99,643 km",Diesel,1st Owner,"₹6,96,199"
New Delhi,2015,Maruti,S Cross ALPHA 1.3,Manual,"94,544 km",Diesel,1st Owner,"₹5,53,299"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"83,669 km",Diesel,1st Owner,"₹6,65,499"
